RefDes,Name,X (in),Y (in),Side,Rotate,Value
D1,DIODE_0805,2.025,0.907,Top,90,LED
H1,GROVE,2.275,0.5,Top,90,2mm Connector
H2,12Pin,1.075,0.051,Top,180,12x1 0.1  Header
H3,6Pin,0.781,0.95,Top,180,
R1,RES_0603,1.875,0.867,Top,270,0
R2,RES_0603,1.608,0.45,Top,0,330
R3,RES_0603,1.8,0.867,Top,270,0
R4,RES_0603,1.05,0.533,Top,270,330
R5,RES_0603,1.725,0.867,Top,270,0
R6,RES_0603,1.609,0.3,Top,0,10k
R7,RES_0603,1.609,0.375,Top,0,10k
R8,RES_0603,1.625,0.867,Top,270,0
R9,RES_0603,1.55,0.867,Top,90,0
R10,RES_0603,2.112,0.917,Top,270,330
S1,ECHEM SENSOR,0.576,0.487,Top,270,
U1,ADR5041,1.081,0.674,Top,90,2.5V
U2,LMP9100x,1.2,0.259,Top,90,
U3,ADS101x,1.389,0.417,Top,270,
U4,PCA9500BS,1.287,0.789,Top,270,
U5,TC74Ax,1.177,0.519,Top,0,
C2,CAP_0402,1.355,0.287,Top,0,0.1uF
C3,CAP_0402,1.432,0.95,Top,180,0.1uF
C1,CAP_0603,2.12,0.746,Top,180,10uF
